,회사명,종목코드,상장일,상장유형,증권구분,상장주선인,액면가(원),공모가(원),공모금액(천원),최초상장주식수(주),1년후종가
135,교보KTB스팩,123410,2010-08-27,신규상장,주권,"교보증권(주),KTB투자증권(주)",100,4000,25000000,6784000,3795
136,에이치엠씨제1호스팩,126640,2010-08-31,신규상장,주권,현대차증권주식회사,100,2000,23560000,12500000,1760
137,이트레이드1호스팩,126700,2010-09-10,신규상장,주권,이베스트투자증권(주),100,2000,19000000,10210000,5049
138,와이솔,122990,2010-09-10,신규상장,주권,한화투자증권(주),500,8000,8000000,10200000,5284
139,씨젠,096530,2010-09-10,신규상장,주권,"대신증권(주),미래에셋대우(주)",500,30500,19413250,6158820,32815
140,현대홈쇼핑,057050,2010-09-13,신규상장,주권,"KB증권(주),하이투자증권(주),현대차증권주식회사",5000,90000,270000000,12000000,126500
141,다원시스,068240,2010-09-14,신규상장,주권,하이투자증권(주),500,11000,14868810,6400000,3134
142,성융광전투자,900150,2010-09-15,신규상장,외국주권,미래에셋대우(주),1,2800,50400000,72000000,2370
143,KTcs,058850,2010-09-16,신규상장,주권,한국투자증권(주),5000,2600,18597462,47685000,2320
144,포메탈,119500,2010-09-17,신규상장,주권,IBK투자증권(주),500,6000,10800000,5987340,7400
145,알파칩스,117670,2010-09-17,신규상장,주권,KB증권(주),500,12000,7200000,4016448,8134
146,휠라코리아,081660,2010-09-28,신규상장,주권,삼성증권(주),5000,35000,113750000,8567073,13780
147,키움스팩1호,123840,2010-10-05,신규상장,주권,키움증권(주),100,2000,20000000,10540000,1762
148,오미디어홀딩스,130960,2010-10-15,재상장,주권,엔에이치투자증권주식회사,5000,0,0,4958257,39150
149,아이씨코리아,068940,2010-10-19,신규상장,주권,한화투자증권(주),500,2800,4200000,10937077,816
150,인화정공,101930,2010-10-22,신규상장,주권,신한금융투자(주),500,26000,31200000,4344504,8758
151,코렌,078650,2010-10-22,신규상장,주권,미래에셋대우(주),500,5800,6960000,4650271,1438
152,아이텍반도체,119830,2010-10-26,신규상장,주권,미래에셋대우(주),500,9100,8190000,4612500,3400
153,누리플랜,069140,2010-10-26,신규상장,주권,현대차증권주식회사,500,5500,6050000,4310000,6674
154,부국퓨쳐스타즈스팩,123300,2010-10-29,신규상장,주권,부국증권(주),500,2000,11800000,6670000,1800
155,동양시스템즈,030790,2010-11-02,이전상장,주권,DB금융투자주식회사,5000,0,0,27200000,47890
156,케이엔엔,058400,2010-11-03,신규상장,주권,미래에셋증권(주),5000,9000,11970000,13242972,601
157,삼본정밀전자,111870,2010-11-05,신규상장,주권,KB증권(주),500,8800,17600000,9500000,1356
158,아나패스,123860,2010-11-05,신규상장,주권,"미래에셋대우(주),IBK투자증권(주)",500,52000,24440000,3366190,8610
159,하나그린스팩,123420,2010-11-10,신규상장,주권,하나금융투자(주),100,4000,20000000,5232000,17275
160,코프라,126600,2010-11-12,신규상장,주권,미래에셋증권(주),500,7000,12320000,5800000,1645
161,디케이락,105740,2010-11-12,신규상장,주권,신한금융투자(주),500,7500,15000000,6200000,6870
162,한국전자인증,041460,2010-11-19,신규상장,주권,한국투자증권(주),500,1600,2240000,21400000,1355
163,케이티롤,122800,2010-11-26,신규상장,주권,대신증권(주),500,6800,7172681,4200000,1360
164,시그네틱스,033170,2010-11-26,신규상장,주권,"신한금융투자(주),미래에셋증권(주)",500,2600,36526963,77288319,4605
165,대구방송,033830,2010-11-29,신규상장,주권,부국증권(주),5000,7500,7500000,10000000,607
166,코라오홀딩스,900140,2010-11-30,신규상장,외국주권,IBK투자증권(주),0,4800,56317056,38400000,5973
167,세우테크,096690,2010-12-01,신규상장,주권,신한금융투자(주),500,5500,8250000,5000000,9359
168,하이제1호스팩,131030,2010-12-03,신규상장,주권,하이투자증권(주),500,4000,27000000,7250000,3756
169,동부티에스블랙펄스팩,128910,2010-12-08,신규상장,주권,DB금융투자주식회사,100,2000,22500000,12300000,1880
170,피제이메탈,128660,2010-12-13,재상장,주권,하나금융투자(주),500,0,0,21722658,2200
171,한전산업,130660,2010-12-16,신규상장,주권,신한금융투자(주),500,5500,71720000,32600000,6890
172,케이티스,058860,2010-12-17,신규상장,주권,엔에이치투자증권주식회사,5000,2700,11625687,34802000,2700
173,대정화금,120240,2010-12-20,신규상장,주권,현대차증권주식회사,500,9200,21160000,5537272,13400
174,IBKS스팩1호,126680,2010-12-22,신규상장,주권,IBK투자증권(주),500,1000,20000000,20880000,939
175,현대에이치씨엔,126560,2010-12-23,신규상장,주권,KB증권(주),500,3800,83600000,84727220,2770
176,대구도시가스,117580,2010-12-24,신규상장,주권,신한금융투자(주),1000,5400,40500000,27500000,5390
177,액트,131400,2010-12-27,신규상장,주권,한국투자증권(주),500,2700,10800000,15000000,3980
178,두산엔진,082740,2011-01-04,신규상장,주권,"미래에셋대우(주),유안타증권(주)",1000,19300,202650000,69500000,8227
179,케이비게임앤앱스스팩,131370,2011-01-05,신규상장,주권,케이비투자증권(주),100,2500,20000000,8620001,2453
180,티에스이,131290,2011-01-05,신규상장,주권,한국투자증권(주),500,45000,36549000,3248298,12950
181,인텍플러스,064290,2011-01-05,신규상장,주권,한국투자증권(주),500,7000,7000000,8005000,5700
182,다나와,119860,2011-01-24,신규상장,주권,한국투자증권(주),500,14000,20141044,6600000,3730
183,씨그널정보통신,099830,2011-01-24,신규상장,주권,신영증권(주),500,8500,7582000,3400000,14235
184,팀스,134790,2011-01-25,재상장,주권,엔에이치투자증권주식회사,1000,0,0,1000000,11000
185,중국고섬,950070,2011-01-25,신규상장,주식예탁증권,미래에셋대우(주),0,7000,210000000,30000000,4165
